client_id,cin,prenom,nom,genre,date_naissance,ville,region,telephone,email,situation_professionnelle,situation_familiale,niveau_education,revenu_mensuel,agence_id,date_inscription,statut_client
CLI000001,H335612,Karim,Tazi,M,1988-07-02,Béni Mellal,Béni Mellal-Khénifra,+212655377076,karim.22@gmail.com,Profession libérale,Marié(e),Bac+5,11540.28,AG008,2019-10-29,Actif
CLI000002,C639131,Abdelkader,Benjelloun,M,1957-10-26,Marrakech,Marrakech-Safi,+212647376585,abdelkader.686@gmail.com,Artisan,Marié(e),Bac+5,5414.7,AG005,2017-05-30,Actif
CLI000003,L544154,Leila,Zniber,F,1991-07-09,Khouribga,Béni Mellal-Khénifra,+212672682989,leila.885@gmail.com,Retraité,Célibataire,Doctorat,12866.73,AG021,2014-04-09,Blacklisté
CLI000004,H300896,Ahmed,Chraibi,M,1985-06-10,Béni Mellal,Béni Mellal-Khénifra,+212681979055,ahmed.460@gmail.com,Fonctionnaire,Veuf/Veuve,Baccalauréat,11277.38,AG009,2012-06-14,Actif
CLI000005,Y989921,Adil,Benjelloun,M,1959-07-16,Fès,Fès-Meknès,+212632321899,adil.417@gmail.com,Artisan,Veuf/Veuve,Baccalauréat,13425.35,AG013,2022-02-15,Inactif
CLI000006,Z923267,Tariq,Benkirane,M,1990-01-10,Casablanca,Casablanca-Settat,+212648285503,tariq.434@gmail.com,Retraité,Veuf/Veuve,Baccalauréat,2000,AG007,2015-12-13,Actif
CLI000007,Q265080,Amine,El Amrani,M,1983-02-19,Rabat,Rabat-Salé-Kénitra,+212678159587,amine.83@gmail.com,Auto-entrepreneur,Marié(e),Sans diplôme,12328.78,AG020,2011-04-14,Actif
CLI000008,S723398,Tariq,El Amrani,M,2006-02-09,Fès,Fès-Meknès,+212693131979,tariq.84@gmail.com,Artisan,Divorcé(e),Bac+2,9410.79,AG007,2015-07-10,Actif
CLI000009,K888387,Leila,Tazi,F,1990-07-05,Tétouan,Tanger-Tétouan-Al Hoceïma,+212611250299,leila.470@gmail.com,Profession libérale,Célibataire,Sans diplôme,6403.98,AG018,2012-12-08,Actif
CLI000010,L398830,Zineb,Fassi,F,1961-03-04,El Jadida,Casablanca-Settat,+212668812137,zineb.854@gmail.com,Profession libérale,Divorcé(e),Bac+5,5022.38,AG021,2015-06-25,Actif
CLI000011,E385577,Meryem,Berrada,F,1978-09-23,Tanger,Tanger-Tétouan-Al Hoceïma,+212691178885,meryem.216@gmail.com,Retraité,Divorcé(e),Baccalauréat,13068.75,AG021,2012-08-03,Inactif
CLI000012,I146228,Imane,Benali,F,1963-04-13,Rabat,Rabat-Salé-Kénitra,+212654769200,imane.790@gmail.com,Fonctionnaire,Divorcé(e),Baccalauréat,3791.33,AG015,2019-07-02,Actif
CLI000013,E672092,Wafa,El Amrani,F,1965-01-13,Casablanca,Casablanca-Settat,+212659555330,wafa.597@gmail.com,Profession libérale,Marié(e),Bac+3,13768.75,AG005,2011-09-09,Actif
CLI000014,V207786,Khadija,El Ouazzani,F,1973-11-05,El Jadida,Casablanca-Settat,+212685146293,khadija.906@gmail.com,Auto-entrepreneur,Veuf/Veuve,Bac+5,5925.21,AG005,2015-08-07,Inactif
CLI000015,Z531712,Hassan,Naciri,M,1991-12-28,Agadir,Souss-Massa,+212643308443,hassan.274@gmail.com,Fonctionnaire,Célibataire,Bac+3,11904.34,AG002,2010-07-23,Inactif
CLI000016,Z338651,Rachid,Benjelloun,M,1986-05-15,Settat,Casablanca-Settat,+212613176186,rachid.676@gmail.com,Fonctionnaire,Veuf/Veuve,Bac+2,16211.37,AG009,2016-11-05,Inactif
CLI000017,I287241,Naima,El Filali,F,1990-11-09,Berrechid,Casablanca-Settat,+212645630292,naima.40@gmail.com,Salarié secteur privé,Veuf/Veuve,Bac+2,7538.1,AG011,2022-01-10,Actif
CLI000018,W557239,Tariq,Benali,M,1977-11-07,Oujda,Oriental,+212679782527,tariq.948@gmail.com,Auto-entrepreneur,Marié(e),Bac+2,8826.0,AG014,2010-12-30,Actif
